SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,BE,15-Jun-2016,INE454M01024,1
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ,18-Sep-2007,INE245I01016,5
NAGREEKEXP,Nagreeka Exports Limited,EQ,18-Jun-2007,INE123B01028,5
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-Mar-2008,INE049I01012,5
NAHARINDUS,Nahar Industrial Enterprises Limited,BE,15-Dec-2005,INE289A01011,10
NAHARPOLY,Nahar Poly Films Limited,EQ,23-Mar-2007,INE308A01027,5
NAHARSPING,Nahar Spinning Mills Limited,BE,23-Mar-2007,INE290A01027,5
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,06-Nov-2017,INE298J01013,10
NATCOPHARM,Natco Pharma Limited,EQ,27-Dec-1995,INE987B01026,2
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ,28-Jan-2014,INE448G01010,10
NATIONALUM,National Aluminium Company Limited,EQ,28-Apr-1999,INE139A01034,5
NATNLSTEEL,National Steel And Agro Industries Limited,BE,26-Sep-2002,INE088B01015,10
NAUKRI,Info Edge (India) Limited,EQ,21-Nov-2006,INE663F01024,10
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-Jun-2007,INE048G01026,2
NAVKARCORP,Navkar Corporation Limited,EQ,09-Sep-2015,INE278M01019,10
NAVNETEDUL,Navneet Education Limited,EQ,08-Feb-1995,INE060A01024,2
NAZARA,Nazara Technologies Limited,EQ,30-Mar-2021,INE418L01021,4
NBCC,NBCC (India) Limited,EQ,12-Apr-2012,INE095N01031,1
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,23-Nov-2016,INE365I01020,5
NBVENTURES,Nava Bharat Ventures Limited,EQ,03-Apr-1996,INE725A01022,2
NCC,NCC Limited,EQ,14-Oct-2003,INE868B01028,2
NCLIND,NCL Industries Limited,EQ,03-Apr-2007,INE732C01016,10
NDGL,Naga Dhunseri Group Limited,BE,29-Aug-2016,INE756C01015,10
NDL,Nandan Denim Limited,EQ,23-Mar-2012,INE875G01030,10
NDRAUTO,Ndr Auto Components Limited,BE,30-Jul-2020,INE07OG01012,10
NDTV,New Delhi Television Limited,EQ,19-May-2004,INE155G01029,4
NECCLTD,North Eastern Carrying Corporation Limited,EQ,02-Mar-2016,INE553C01016,10
NECLIFE,Nectar Lifesciences Limited,EQ,18-Jul-2005,INE023H01027,1
NELCAST,Nelcast Limited,EQ,27-Jun-2007,INE189I01024,2
NELCO,NELCO Limited,EQ,28-May-2003,INE045B01015,10
NEOGEN,Neogen Chemicals Limited,EQ,08-May-2019,INE136S01016,10
NESCO,Nesco Limited,EQ,08-Apr-2008,INE317F01035,2
NESTLEIND,Nestle India Limited,EQ,08-Jan-2010,INE239A01016,10
NETWORK18,Network18 Media & Investments Limited,EQ,02-Feb-2007,INE870H01013,5
NEULANDLAB,Neuland Laboratories Limited,BE,13-Oct-2008,INE794A01010,10
NEWGEN,Newgen Software Technologies Limited,BE,29-Jan-2018,INE619B01017,10
NEXTMEDIA,Next Mediaworks Limited,EQ,04-Apr-2001,INE747B01016,10
NFL,National Fertilizers Limited,EQ,28-Dec-2006,INE870D01012,10
NH,Narayana Hrudayalaya Ltd.,EQ,06-Jan-2016,INE410P01011,10
NHPC,NHPC Limited,EQ,01-Sep-2009,INE848E01016,10
NIACL,The New India Assurance Company Limited,EQ,13-Nov-2017,INE470Y01017,5
NIBL,NRB Industrial Bearings Limited,EQ,09-Apr-2013,INE047O01014,2
NIITLTD,NIIT Limited,EQ,16-Aug-2004,INE161A01038,2
NILAINFRA,Nila Infrastructures Limited,EQ,21-May-2015,INE937C01029,1
NILASPACES,Nila Spaces Limited,BE,28-Dec-2018,INE00S901012,1
NILKAMAL,Nilkamal Limited,EQ,01-Nov-1995,INE310A01015,10
NIPPOBATRY,Indo-National Limited,EQ,06-Oct-1999,INE567A01010,10
NIRAJ,Niraj Cement Structurals Limited,EQ,01-Oct-2020,INE368I01016,10
NIRAJISPAT,Niraj Ispat Industries Limited,BE,27-Oct-2016,INE326T01011,10
NITCO,Nitco Limited,EQ,21-Mar-2006,INE858F01012,10
NITINFIRE,Nitin Fire Protection Industries Limited,BZ,05-Jun-2007,INE489H01020,2
NITINSPIN,Nitin Spinners Limited,EQ,02-Feb-2006,INE229H01012,10
NITIRAJ,Nitiraj Engineers Limited,EQ,22-Apr-2021,INE439T01012,10
NKIND,NK Industries Limited,EQ,07-Jul-1995,INE542C01019,10
NLCINDIA,NLC India Limited,EQ,23-Aug-2000,INE589A01014,10
NMDC,NMDC Limited,EQ,03-Mar-2008,INE584A01023,1
NOCIL,NOCIL Limited,EQ,17-Jan-1996,INE163A01018,10
NOIDATOLL,Noida Toll Bridge Company Limited,EQ,06-Dec-2002,INE781B01015,10
NORBTEAEXP,Norben Tea & Exports Limited,EQ,26-Jun-1996,INE369C01017,10
NOVARTIND,Novartis India Limited,EQ,08-Nov-2000,INE234A01025,5
NRAIL,N R Agarwal Industries Limited,EQ,05-Apr-2017,INE740D01017,10
NRBBEARING,NRB Bearing Limited,EQ,08-Mar-2000,INE349A01021,2
NSIL,Nalwa Sons Investments Limited,EQ,17-Nov-2003,INE023A01030,10
NTL,Neueon Towers Limited,EQ,11-Sep-2013,INE333I01036,10
NTPC,NTPC Limited,EQ,05-Nov-2004,INE733E01010,10
NUCLEUS,Nucleus Software Exports Limited,EQ,19-Dec-2002,INE096B01018,10
NURECA,Nureca Limited,EQ,25-Feb-2021,INE0DSF01015,10
NXTDIGITAL,NXTDIGITAL LIMITED,EQ,24-Apr-2007,INE353A01023,10
OAL,Oriental Aromatics Limited,EQ,11-Jul-2019,INE959C01023,5
OBEROIRLTY,Oberoi Realty Limited,EQ,20-Oct-2010,INE093I01010,10
OCCL,Oriental Carbon & Chemicals Limited,EQ,27-Jan-2016,INE321D01016,10
OFSS,Oracle Financial Services Software Limited,EQ,28-Jun-2002,INE881D01027,5
OIL,Oil India Limited,EQ,30-Sep-2009,INE274J01014,10
OILCOUNTUB,Oil Country Tubular Limited,BE,30-Aug-1995,INE591A01010,10
OLECTRA,Olectra Greentech Limited,BE,20-Mar-2002,INE260D01016,4
OMAXAUTO,Omax Autos Limited,BE,20-Feb-2003,INE090B01011,10
OMAXE,Omaxe Limited,EQ,09-Aug-2007,INE800H01010,10
OMINFRAL,OM INFRA LIMITED,EQ,17-Jun-2011,INE239D01028,1
OMKARCHEM,Omkar Speciality Chemicals Limited,EQ,10-Feb-2011,INE474L01016,10
ONELIFECAP,Onelife Capital Advisors Limited,EQ,17-Oct-2011,INE912L01015,10
ONEPOINT,One Point One Solutions Limited,BE,09-May-2019,INE840Y01011,10
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-Jul-1995,INE213A01029,5
ONMOBILE,OnMobile Global Limited,EQ,19-Feb-2008,INE809I01019,10
ONWARDTEC,Onward Technologies Limited,EQ,07-Mar-2001,INE229A01017,10
OPTIEMUS,Optiemus Infracom Limited,BE,08-Aug-2017,INE350C01017,10
OPTOCIRCUI,Opto Circuits (India) Limited,BE,25-Aug-2003,INE808B01016,10
ORBTEXP,Orbit Exports Limited,EQ,05-Nov-2013,INE231G01010,10
ORCHPHARMA,Orchid Pharma Limited,BE,02-Nov-2020,INE191A01027,10
ORICONENT,Oricon Enterprises Limited,EQ,24-Jul-2015,INE730A01022,2
ORIENTABRA,Orient Abrasives Limited,EQ,15-Dec-2005,INE569C01020,1
ORIENTALTL,Oriental Trimex Limited,EQ,07-Mar-2007,INE998H01012,10
ORIENTBELL,Orient Bell Limited,EQ,14-Feb-2007,INE607D01018,10
ORIENTCEM,Orient Cement Limited,EQ,12-Jul-2013,INE876N01018,1
ORIENTELEC,Orient Electric Limited,EQ,14-May-2018,INE142Z01019,1
ORIENTHOT,Oriental Hotels Limited,EQ,27-Aug-1998,INE750A01020,1
ORIENTLTD,Orient Press Limited,EQ,03-Mar-2010,INE609C01024,10
ORIENTPPR,Orient Paper & Industries Limited,EQ,29-Mar-1995,INE592A01026,1
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ,29-Sep-2010,INE725E01024,1
ORTEL,Ortel Communications Limited,BZ,19-Mar-2015,INE849L01019,10
ORTINLAB,Ortin Laboratories Limited,EQ,30-Mar-2021,INE749B01020,10
OSWALAGRO,Oswal Agro Mills Limited,EQ,29-Mar-1995,INE142A01012,10
PAEL,PAE Limited,BZ,12-Apr-1995,INE766A01018,10
PAGEIND,Page Industries Limited,EQ,16-Mar-2007,INE761H01022,10
PAISALO,Paisalo Digital Limited,EQ,17-Oct-2011,INE420C01042,10
PALASHSECU,Palash Securities Limited,EQ,28-Jul-2017,INE471W01019,10
PALREDTEC,Palred Technologies Limited,EQ,09-May-2016,INE218G01033,10
PANACEABIO,Panacea Biotec Limited,EQ,17-Apr-1996,INE922B01023,1
PANACHE,Panache Digilife Limited,BE,06-Jan-2020,INE895W01019,10
PANAMAPET,Panama Petrochem Limited,EQ,30-Sep-2011,INE305C01029,2
PARACABLES,Paramount Communications Limited,BE,03-Jan-2007,INE074B01023,2
PARAGMILK,Parag Milk Foods Limited,EQ,19-May-2016,INE883N01014,10
PARSVNATH,Parsvnath Developers Limited,EQ,30-Nov-2006,INE561H01026,5
PATELENG,Patel Engineering Limited,EQ,24-Feb-2005,INE244B01030,1
PATINTLOG,Patel Integrated Logistics Limited,EQ,11-Jan-2008,INE529D01014,10
PATSPINLTD,Patspin India Limited,EQ,10-May-1995,INE790C01014,10
PBAINFRA,PBA Infrastructure Limited,BE,24-Nov-2005,INE160H01019,10
PCJEWELLER,PC Jeweller Limited,EQ,27-Dec-2012,INE785M01013,10
PDMJEPAPER,Pudumjee Paper Products Limited,EQ,30-Mar-2016,INE865T01018,1
PDSMFL,PDS Multinational Fashions Limited,EQ,21-Oct-2014,INE111Q01013,10
PEARLPOLY,Pearl Polymers Limited,EQ,11-Oct-1995,INE844A01013,10
PEL,Piramal Enterprises Limited,EQ,08-Feb-1995,INE140A01024,2
PENIND,Pennar Industries Limited,EQ,25-Nov-2010,INE932A01024,5
PENINLAND,Peninsula Land Limited,BE,08-Feb-1995,INE138A01028,2
PERSISTENT,Persistent Systems Limited,EQ,06-Apr-2010,INE262H01013,10
PETRONET,Petronet LNG Limited,EQ,26-Mar-2004,INE347G01014,10
PFC,Power Finance Corporation Limited,EQ,23-Feb-2007,INE134E01011,10
PFIZER,Pfizer Limited,EQ,28-Apr-1999,INE182A01018,10
PFOCUS,Prime Focus Limited,EQ,20-Jun-2006,INE367G01038,1
PFS,PTC India Financial Services Limited,EQ,30-Mar-2011,INE560K01014,10
PGEL,PG Electroplast Limited,EQ,26-Sep-2011,INE457L01011,10
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ,07-Jul-2004,INE179A01014,10
PGHL,Procter & Gamble Health Limited,EQ,24-Apr-1996,INE199A01012,10
PGIL,Pearl Global Industries Limited,EQ,15-Feb-2007,INE940H01014,10
PHILIPCARB,Phillips Carbon Black Limited,EQ,29-Mar-1995,INE602A01023,2
PHOENIXLTD,The Phoenix Mills Limited,EQ,23-Apr-2007,INE211B01039,2
PIDILITIND,Pidilite Industries Limited,EQ,29-Mar-1995,INE318A01026,1
PIIND,PI Industries Limited,EQ,15-Jun-2011,INE603J01030,1
PILANIINVS,Pilani Investment and Industries Corporation Limited,EQ,08-Dec-2015,INE417C01014,10
PILITA,PIL ITALICA LIFESTYLE LIMITED,EQ,07-Oct-2013,INE600A01035,1
PIONDIST,Pioneer Distilleries Limited,EQ,15-Jun-2010,INE889E01010,10
PIONEEREMB,Pioneer Embroideries Limited,EQ,16-May-2006,INE156C01018,10
PITTIENG,Pitti Engineering Limited,EQ,02-Feb-2007,INE450D01021,5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,BE,19-Aug-2015,INE431F01018,10
PLASTIBLEN,Plastiblends India Limited,EQ,28-Dec-2006,INE083C01022,5
PNB,Punjab National Bank,EQ,24-Apr-2002,INE160A01022,2
PNBGILTS,PNB Gilts Limited,EQ,18-Sep-2000,INE859A01011,10
PNBHOUSING,PNB Housing Finance Limited,BE,07-Nov-2016,INE572E01012,10
PNC,Pritish Nandy Communications Limited,EQ,11-Dec-2000,INE392B01011,10
PNCINFRA,PNC Infratech Limited,EQ,26-May-2015,INE195J01029,2
PODDARHOUS,Poddar Housing and Development Limited,EQ,10-Apr-2017,INE888B01018,10
PODDARMENT,Poddar Pigments Limited,EQ,22-Nov-2016,INE371C01013,10
POKARNA,Pokarna Limited,EQ,07-Jul-2016,INE637C01025,2
POLYCAB,Polycab India Limited,EQ,16-Apr-2019,INE455K01017,10
POLYMED,Poly Medicure Limited,EQ,07-Dec-2011,INE205C01021,5
POLYPLEX,Polyplex Corporation Limited,EQ,11-Apr-2003,INE633B01018,10
PONNIERODE,Ponni Sugars (Erode) Limited,BE,16-Apr-2002,INE838E01017,10
POWERGRID,Power Grid Corporation of India Limited,EQ,05-Oct-2007,INE752E01010,10
POWERINDIA,ABB Power Products and Systems India Limited,EQ,30-Mar-2020,INE07Y701011,2
POWERMECH,Power Mech Projects Limited,EQ,26-Aug-2015,INE211R01019,10
PPAP,PPAP Automotive Limited,EQ,11-Jan-2008,INE095I01015,10
PPL,Prakash Pipes Limited,EQ,14-Jun-2019,INE050001010,10
PRAENG,Prajay Engineers Syndicate Limited,BE,02-Jan-2007,INE505C01016,10
PRAJIND,Praj Industries Limited,BE,11-Oct-1995,INE074A01025,2
PRAKASH,Prakash Industries Limited,EQ,10-May-1995,INE603A01013,10
PRAKASHSTL,Prakash Steelage Limited,EQ,25-Aug-2010,INE696K01024,1
PRAXIS,Praxis Home Retail Limited,EQ,31-Jan-2018,INE546Y01022,5
PRECAM,Precision Camshafts Limited,EQ,08-Feb-2016,INE484I01029,10
PRECOT,Precot Limited,EQ,19-Aug-2005,INE283A01014,10
PRECWIRE,Precision Wires India Limited,EQ,06-Sep-1995,INE372C01029,5
PREMEXPLN,Premier Explosives Limited,BE,17-Jun-2016,INE863B01011,10
PREMIER,Premier Limited,EQ,03-Apr-1996,INE342A01018,10
PREMIERPOL,Premier Polyfilm Limited,EQ,13-Dec-1995,INE309M01012,5
PRESSMN,Pressman Advertising Limited,EQ,05-Jan-2005,INE980A01023,2
PRESTIGE,Prestige Estates Projects Limited,EQ,27-Oct-2010,INE811K01011,10
PRICOLLTD,Pricol Limited,EQ,10-Feb-2017,INE726V01018,1
PRIMESECU,Prime Securities Limited,EQ,17-Jun-2005,INE032B01021,5
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ,30-Dec-2019,INE689W01016,10
PRIVISCL,Privi Speciality Chemicals Limited,EQ,08-May-2015,INE959A01019,10
PROINDIA,Proseed India Limited,BE,19-May-2021,INE217G01035,1
PROZONINTU,Prozone Intu Properties Limited,EQ,12-Sep-2012,INE195N01013,2
PRSMJOHNSN,Prism Johnson Limited,EQ,20-Aug-2003,INE010A01011,10
PSB,Punjab & Sind Bank,EQ,30-Dec-2010,INE608A01012,10
PSPPROJECT,PSP Projects Limited,EQ,29-May-2017,INE488V01015,10
PTC,PTC India Limited,EQ,07-Apr-2004,INE877F01012,10
PTL,PTL Enterprises Limited,EQ,29-Jan-2007,INE034D01031,2
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,08-Mar-2007,INE277B01014,10
PUNJLLOYD,Punj Lloyd Limited,BZ,06-Jan-2006,INE701B01021,2
PURVA,Puravankara Limited,EQ,30-Aug-2007,INE323I01011,5
PVP,PVP Ventures Limited,EQ,03-Apr-1996,INE362A01016,10
PVR,PVR Limited,EQ,04-Jan-2006,INE191H01014,10
QUESS,Quess Corp Limited,EQ,12-Jul-2016,INE615P01015,10
QUICKHEAL,Quick Heal Technologies Limited,EQ,18-Feb-2016,INE306L01010,10
RADAAN,Radaan Mediaworks India Limited,BE,27-Feb-2003,INE874F01027,2
RADICO,Radico Khaitan Limited,EQ,18-Jun-2003,INE944F01028,2
RADIOCITY,Music Broadcast Limited,EQ,17-Mar-2017,INE919I01024,2
RAILTEL,Railtel Corporation Of India Limited,EQ,26-Feb-2021,INE0DD101019,10
RAIN,Rain Industries Limited,EQ,03-Mar-2008,INE855B01025,2
RAJESHEXPO,Rajesh Exports Limited,EQ,09-Feb-2000,INE343B01030,1
RAJMET,Rajnandini Metal Limited,BE,16-Feb-2021,INE00KV01014,10
RAJRATAN,Rajratan Global Wire Limited,BE,22-May-2020,INE451D01011,10
RAJRAYON,Raj Rayon Industries Limited,BZ,04-Jan-2007,INE533D01024,1
RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,29-Mar-1995,INE562B01019,10
RAJTV,Raj Television Network Limited,BE,16-Mar-2007,INE952H01027,5
RALLIS,Rallis India Limited,EQ,01-Apr-1999,INE613A01020,1
RAMANEWS,Shree Rama Newsprint Limited,EQ,20-Sep-2006,INE278B01020,10
RAMASTEEL,Rama Steel Tubes Limited,BE,19-Aug-2015,INE230R01027,5
RAMCOCEM,The Ramco Cements Limited,EQ,09-Apr-1997,INE331A01037,1
RAMCOIND,Ramco Industries Limited,EQ,06-Nov-1996,INE614A01028,1
RAMCOSYS,Ramco Systems Limited,EQ,12-Apr-2000,INE246B01019,10
RAMKY,Ramky Infrastructure Limited,BE,08-Oct-2010,INE874I01013,10
RANASUG,Rana Sugars Limited,BE,24-Feb-2005,INE625B01014,10
RANEENGINE,Rane Engine Valve Limited,EQ,24-Jun-2008,INE222J01013,10
RANEHOLDIN,Rane Holdings Limited,EQ,24-Sep-1997,INE384A01010,10
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ,09-May-2006,INE703B01027,2
RAYMOND,Raymond Limited,EQ,18-Oct-1995,INE301A01014,10
RBL,Rane Brake Lining Limited,EQ,20-Jun-2008,INE244J01017,10
RBLBANK,RBL Bank Limited,EQ,31-Aug-2016,INE976G01028,10
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,07-Jan-1998,INE027A01015,10
RCOM,Reliance Communications Limited,EQ,06-Mar-2006,INE330H01018,5
RECLTD,REC Limited,EQ,12-Mar-2008,INE020B01018,10
REDINGTON,Redington (India) Limited,EQ,15-Feb-2007,INE891D01026,2
REFEX,Refex Industries Limited,EQ,03-Dec-2009,INE056I01017,10
RELAXO,Relaxo Footwears Limited,EQ,17-Jun-2011,INE131B01039,1
RELCAPITAL,Reliance Capital Limited,EQ,29-Nov-1995,INE013A01015,10
RELIANCE,Reliance Industries Limited,EQ,29-Nov-1995,INE002A01018,10
RELIGARE,Religare Enterprises Limited,EQ,21-Nov-2007,INE621H01010,10
RELINFRA,Reliance Infrastructure Limited,BE,08-Feb-1995,INE036A01016,10
REMSONSIND,Remsons Industries Limited,BE,31-Jan-1996,INE474C01015,10
RENUKA,Shree Renuka Sugars Limited,BE,31-Oct-2005,INE087H01022,1
REPCOHOME,Repco Home Finance Limited,EQ,01-Apr-2013,INE612J01015,10
REPL,Rudrabhishek Enterprises Limited,EQ,14-Dec-2020,INE364Z01019,10
REPRO,Repro India Limited,EQ,22-Dec-2005,INE461B01014,10
RESPONIND,Responsive Industries Limited,EQ,29-Oct-2010,INE688D01026,1
REVATHI,Revathi Equipment Limited,EQ,11-Aug-2005,INE617A01013,10
RGL,Renaissance Global Limited,EQ,12-Dec-2007,INE722H01016,10
RHFL,Reliance Home Finance Limited,BE,22-Sep-2017,INE217K01011,10
RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-Mar-2012,INE743M01012,1
RICOAUTO,Rico Auto Industries Limited,EQ,12-May-2003,INE209B01025,1
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-Nov-1995,INE046A01015,10
RITES,RITES Limited,EQ,02-Jul-2018,INE320J01015,10
RKDL,Ravi Kumar Distilleries Limited,BE,27-Dec-2010,INE722J01012,10
RKEC,RKEC Projects Limited,EQ,18-Dec-2020,INE786W01010,10
RKFORGE,Ramkrishna Forgings Limited,EQ,05-May-2004,INE399G01015,10
RMCL,Radha Madhav Corporation Limited,BZ,26-Nov-2007,INE172H01014,10
RML,Rane (Madras) Limited,EQ,30-Aug-2005,INE050H01012,10
RNAVAL,Reliance Naval and Engineering Limited,BZ,09-Oct-2009,INE542F01012,10
ROHLTD,Royal Orchid Hotels Limited,EQ,06-Feb-2006,INE283H01019,10
ROLLT,Rollatainers Limited,EQ,22-Nov-2016,INE927A01040,1
ROLTA,Rolta India Limited,BE,01-Mar-1995,INE293A01013,10
ROML,Raj Oil Mills Limited,EQ,06-Oct-2020,INE294G01026,10
ROSSARI,Rossari Biotech Limited,EQ,23-Jul-2020,INE02A801020,2
ROSSELLIND,Rossell India Limited,EQ,25-Sep-2012,INE847C01020,2
ROUTE,ROUTE MOBILE LIMITED,EQ,21-Sep-2020,INE450U01017,10
RPGLIFE,RPG Life Sciences Limited,EQ,10-Jun-2008,INE105J01010,8
RPOWER,Reliance Power Limited,BE,11-Feb-2008,INE614G01033,10
RPPINFRA,R.P.P. Infra Projects Limited,EQ,06-Dec-2010,INE324L01013,10
RPSGVENT,RPSG VENTURES LIMITED,EQ,25-Jan-2019,INE425Y01011,10
RSSOFTWARE,R. S. Software (India) Limited,EQ,19-May-1999,INE165B01029,5
RSWM,RSWM Limited,EQ,15-Feb-1995,INE611A01016,10
RSYSTEMS,R Systems International Limited,EQ,26-Apr-2006,INE411H01032,1
RTNINDIA,RattanIndia Enterprises Limited,BE,30-Jul-2012,INE834M01019,2
RTNPOWER,RattanIndia Power Limited,BE,30-Oct-2009,INE399K01017,10
RUBYMILLS,The Ruby Mills Limited,EQ,29-Mar-1995,INE301D01026,5
RUCHI,Ruchi Soya Industries Limited,EQ,24-Jan-2020,INE619A01035,2
RUCHINFRA,Ruchi Infrastructure Limited,BE,16-Oct-1996,INE413B01023,1
RUCHIRA,Ruchira Papers Limited,EQ,20-Dec-2006,INE803H01014,10
RUPA,Rupa & Company Limited,EQ,07-Dec-2011,INE895B01021,1
RUSHIL,Rushil Decor Limited,EQ,07-Jul-2011,INE573K01017,10
RVHL,Ravinder Heights Limited,EQ,18-Dec-2020,INE09E501017,1
RVNL,Rail Vikas Nigam Limited,EQ,11-Apr-2019,INE415G01027,10
S&SPOWER,S&S Power Switchgears Limited,EQ,27-Sep-1995,INE902B01017,10
SABEVENTS,Sab Events & Governance Now Media Limited,BE,15-Sep-2016,INE860T01019,10
SADBHAV,Sadbhav Engineering Limited,EQ,01-Mar-2006,INE226H01026,1
SADBHIN,Sadbhav Infrastructure Project Limited,EQ,16-Sep-2015,INE764L01010,10
SAFARI,Safari Industries (India) Limited,EQ,12-Sep-2019,INE429E01023,2
SAGARDEEP,Sagardeep Alloys Limited,BE,25-Jan-2019,INE976T01013,10
SAGCEM,Sagar Cements Limited,EQ,29-Jan-2007,INE229C01013,10
SAIL,Steel Authority of India Limited,EQ,06-Jul-1995,INE114A01011,10
SAKAR,Sakar Healthcare Limited,EQ,11-Apr-2019,INE732S01012,10
SAKHTISUG,Sakthi Sugars Limited,BE,06-Sep-1995,INE623A01011,10
SAKSOFT,Saksoft Limited,EQ,09-May-2005,INE667G01015,10
SAKUMA,Sakuma Exports Limited,BE,08-Mar-2006,INE190H01024,1
SALASAR,Salasar Techno Engineering Limited,EQ,25-Jul-2017,INE170V01019,10
SALONA,Salona Cotspin Limited,EQ,16-Jun-2016,INE498E01010,10
SALSTEEL,S.A.L. Steel Limited,BE,24-Nov-2004,INE658G01014,10
SALZERELEC,Salzer Electronics Limited,EQ,02-Dec-2015,INE457F01013,10
SAMBHAAV,Sambhaav Media Limited,BE,05-Jun-1996,INE699B01027,1
SANCO,Sanco Industries Limited,EQ,22-Nov-2016,INE782L01012,10
SANDESH,The Sandesh Limited,EQ,26-Nov-2002,INE583B01015,10
SANDHAR,Sandhar Technologies Limited,EQ,02-Apr-2018,INE278H01035,10
SANGAMIND,Sangam (India) Limited,EQ,17-Jul-1996,INE495C01010,10
SANGHIIND,Sanghi Industries Limited,EQ,10-May-1995,INE999B01013,10
SANGHVIMOV,Sanghvi Movers Limited,EQ,24-Jan-2007,INE989A01024,2
SANGINITA,Sanginita Chemicals Limited,EQ,15-Jul-2019,INE753W01010,10
SANOFI,Sanofi India Limited,EQ,19-May-2003,INE058A01010,10
SANWARIA,Sanwaria Consumer Limited,BZ,27-Mar-2006,INE890C01046,1
SARDAEN,Sarda Energy & Minerals Limited,BE,03-Dec-2009,INE385C01013,10
SAREGAMA,Saregama India Limited,BE,30-Jul-1997,INE979A01017,10
SARLAPOLY,Sarla Performance Fibers Limited,EQ,19-Jan-2007,INE453D01025,1
SASKEN,Sasken Technologies Limited,EQ,09-Sep-2005,INE231F01020,10
SASTASUNDR,Sastasundar Ventures Limited,BE,05-Oct-2010,INE019J01013,10
SATIA,Satia Industries Limited,EQ,17-Jul-2019,INE170E01023,1
SATIN,Satin Creditcare Network Limited,EQ,26-Aug-2015,INE836B01017,10
SBCL,Shivalik Bimetal Controls Limited,EQ,24-Jun-2021,INE386D01027,2
SBICARD,SBI Cards and Payment Services Limited,EQ,16-Mar-2020,INE018E01016,10
SBILIFE,SBI Life Insurance Company Limited,EQ,03-Oct-2017,INE123W01016,10
SBIN,State Bank of India,EQ,01-Mar-1995,INE062A01020,1
SCAPDVR,Stampede Capital Limited,EQ,10-Oct-2017,INE224E01036,1
SCHAEFFLER,Schaeffler India Limited,EQ,29-Nov-2000,INE513A01014,10
SCHAND,S Chand And Company Limited,EQ,09-May-2017,INE807K01035,5
SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,20-Mar-2012,INE839M01018,2
SCI,Shipping Corporation Of India Limited,EQ,13-Aug-1997,INE109A01011,10
SDBL,Som Distilleries & Breweries Limited,EQ,18-Mar-2014,INE480C01020,5
SEAMECLTD,Seamec Limited,EQ,28-Jun-1995,INE497B01018,10
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,29-Jan-2014,INE650K01021,5
SELAN,Selan Exploration Technology Limited,EQ,26-Sep-2006,INE818A01017,10
SEPOWER,S.E. Power Limited,EQ,27-Jul-2012,INE735M01018,10
SEQUENT,Sequent Scientific Limited,EQ,10-Mar-2016,INE807F01027,2
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-Mar-1995,INE630A01024,2
SETCO,Setco Automotive Limited,EQ,01-Jul-2016,INE878E01021,2
SETUINFRA,Setubandhan Infrastructure Limited,BE,04-Oct-2011,INE023M01027,1
SEYAIND,Seya Industries Limited,EQ,11-Jul-2019,INE573R01012,10
SFL,Sheela Foam Limited,EQ,09-Dec-2016,INE916U01025,5
SGIL,Synergy Green Industries Limited,EQ,28-Jul-2021,INE00QT01015,10
SGL,STL Global Limited,EQ,10-Apr-2006,INE353H01010,10
SHAKTIPUMP,Shakti Pumps (India) Limited,EQ,29-Jan-2015,INE908D01010,10
SHALBY,Shalby Limited,EQ,15-Dec-2017,INE597J01018,10
SHALPAINTS,Shalimar Paints Limited,EQ,03-Mar-2008,INE849C01026,2
SHANKARA,Shankara Building Products Limited,EQ,05-Apr-2017,INE274V01019,10
SHANTIGEAR,Shanthi Gears Limited,EQ,17-Jan-1996,INE631A01022,1
SHARDACROP,Sharda Cropchem Limited,EQ,23-Sep-2014,INE221J01015,10
SHARDAMOTR,Sharda Motor Industries Limited,BE,03-Sep-2015,INE597I01028,2
SHAREINDIA,Share India Securities Limited,EQ,21-Sep-2020,INE932X01018,10
SHEMAROO,Shemaroo Entertainment Limited,EQ,01-Oct-2014,INE363M01019,10
SHIL,Somany Home Innovation Limited,BE,26-Dec-2019,INE05AN01011,2
SHILPAMED,Shilpa Medicare Limited,EQ,03-Dec-2009,INE790G01031,1
